experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_44,1,3,1,2240.46,-2083.66,1,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,2,2,1,898.37,-2016.77,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,3,1,1,1440.53,-1581.93,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,4,5,1,546.6,-2052.78,1,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,5,2,0,2369.08,-1795.51,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,6,3,1,2059.63,-79.62,1,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,7,1,0,1840.75,1178.55,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,8,1,0,2332.58,-1120.94,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,9,2,1,2638.3,-1614.83,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,10,4,0,310.42,-919.22,1,1781493553.43,1781493553.43,1781493673.43,20.0,1781493626.407,6.0,1781493626.563,1781493656.58,6.0,investigated
stochastic/N_6_seed_44,11,2,1,642.03,-829.26,0,1781493553.43,1781493553.43,1781493673.43,20.0,1781493662.886,6.0,,,,expired
stochastic/N_6_seed_44,12,1,1,2197.68,153.78,0,1781493553.43,1781493553.43,1781493673.43,20.0,,,,,,expired
stochastic/N_6_seed_44,13,5,0,1481.41,156.33,1,1781493558.3,1781493558.3,1781493678.3,20.0,,,,,,expired
stochastic/N_6_seed_44,14,4,0,1488.35,566.89,1,1781493566.68,1781493566.68,1781493686.68,20.0,1781493684.08,2.0,1781493684.272,1781493699.335,2.0,investigated
stochastic/N_6_seed_44,15,3,1,2394.09,-497.91,1,1781493588.12,1781493588.12,1781493708.12,20.0,,,,,,expired
stochastic/N_6_seed_44,16,2,0,2100.36,-2219.35,0,1781493601.42,1781493601.42,1781493721.42,20.0,,,,,,expired
stochastic/N_6_seed_44,17,2,0,709.04,-759.88,0,1781493618.01,1781493618.01,1781493738.01,20.0,,,,,,expired
stochastic/N_6_seed_44,18,4,0,2360.57,-1793.67,1,1781493655.72,1781493655.72,1781493775.72,20.0,,,,,,expired
stochastic/N_6_seed_44,19,2,0,1777.4,342.66,0,1781493665.52,1781493665.52,1781493785.52,20.0,1781493705.999,2.0,,,,expired
stochastic/N_6_seed_44,20,3,0,2616.38,-605.75,1,1781493673.85,1781493673.85,1781493793.85,20.0,,,,,,expired
stochastic/N_6_seed_44,21,1,1,208.05,2802.34,0,1781493675.45,1781493675.45,1781493795.45,20.0,,,,,,expired
stochastic/N_6_seed_44,22,2,0,216.22,140.41,0,1781493734.51,1781493734.51,1781493854.51,20.0,,,,,,expired
stochastic/N_6_seed_44,23,1,1,2098.77,1466.01,0,1781493755.14,1781493755.14,1781493875.14,20.0,1781493765.179,2.0,,,,expired
stochastic/N_6_seed_44,24,2,1,237.67,2551.59,0,1781493767.49,1781493767.49,1781493887.49,20.0,,,,,,expired
stochastic/N_6_seed_44,25,5,0,2004.62,2602.73,1,1781493793.02,1781493793.02,1781493913.02,20.0,,,,,,expired
stochastic/N_6_seed_44,26,1,0,539.48,-2115.55,0,1781493797.91,1781493797.91,1781493917.91,20.0,,,,,,expired
stochastic/N_6_seed_44,27,2,0,1922.76,-970.54,0,1781493828.93,1781493828.93,1781493948.93,20.0,1781493893.304,4.0,,,,expired
